bibtex,csl,subtypes
ancienttext,classic,
archival,collection,
archive,collection,
article,article-journal,entrysubtypes
artifactdataset,dataset,
artifactsoftware,software,
artwork,graphic,
audio,song,
bachelor,thesis,
bill,bill,
book,book,
bookinbook,chapter,
booklet,pamphlet,
broadcast,broadcast,
brochure,pamphlet,
cconference,paper-conference,
chapter,chapter,
classic,classic,
classictext,classic,
codefragment,software,
collection,book,
conference,paper-conference,
inproceedings,paper-conference,
conferencepaper,paper-conference,
constitution,legislation,
ctan,software,
database,dataset,
dataset,dataset,
dictionary,book,
docthesis,thesis,
document,document,
electronic,webpage,
online,webpage,
entry,entry,entrysubtypes
eulegislation,legislation,
event,event,
figure,figure,
game,software,
govpub,regulation,
graphic,graphic,
habthesis,thesis,
hearing,hearing,
image,graphic,
inbook,chapter,
incollection,chapter,
inloosecollection,chapter,
inpress,article,
inreference,entry,
internet,webpage,
interview,interview,
journals,periodical,
jurisdiction,legal_case,
jurthesis,thesis,
legadminmaterial,regulation,
legal,treaty,
legal_case,legal_case,
legislation,legislation,
legmaterial,legislation,
letter,personal_communication,
letters,personal_communication,
lexicon,book,
majorthesis,thesis,
manual,report,
manuscript,manuscipt,
map,map,
mastersthesis,thesis,
masterthesis,thesis,
thesis,thesis,
minorthesis,thesis,
misc,document,
monograph,book,
monography,book,
motion_picture,motion_picture,
movie,motion_picture,
music,song,
musical_score,musical_score,
mvbook,book,
mvcollection,book,
mvproceedings,book,
mvreference,book,
news,article-newspaper,
newsarticle,article-newspaper,
newspaper,article-newspaper,
pamphlet,pamphlet,entrysubtypes
patent,patent,
performance,performance,
periodical,periodical,
personal_communication,personal_communication,
phdthesis,thesis,
post,post,entrysubtypes
preprint,article,
presentation,speech,
proceedings,book,
program,software,
reference,book,
regulation,regulation,
report,report,
review,review,entrysubtypes
software,software,
softwaremodule,software,
song,song,
speech,speech,
standard,standard,
suppbook,chapter,
suppcollection,chapter,
suppperiodical,article,
talk,speech,
techreport,report,
techstandard,standard,
treaty,treaty,
uklegislation,legislation,
unpublished,manuscipt,
video,motion_picture,
webpage,webpage,
website,webpage,
www,webpage,
