crossref,csl
journal-article,article-journal
journal-issue,periodical
journal-volume,
journal,
proceedings-article,paper-conference
proceedings,book
dataset,dataset
component,
report,report
report-series,periodical
standard,
standard-series,
edited-book,book
monograph,book
reference-book,book
book,book
book-series,
book-set,
book-chapter,chapter
book-section,chapter
book-part,chapter
book-track,
reference-entry,entry
dissertation,thesis
posted-content,post
peer-review,review
other,
